date,sentiment_score,sentiment_num
2006-12-28,0.0,0.0
2007-01-03,-0.2732,-1.0
2007-02-08,0.0,0.0
2007-03-07,-0.2023,-1.0
2007-03-15,0.0,0.0
2007-03-20,0.0,0.0
2007-03-22,0.0,0.0
2007-04-04,0.1779,1.0
2007-05-07,0.0,0.0
2007-05-08,-0.3612,-1.0
2007-06-04,0.0,0.0
2007-06-14,0.0,0.0
2007-06-26,0.0,0.0
2007-07-09,0.0,0.0
2007-09-22,0.0,0.0
2007-09-29,0.0,0.0
2007-10-10,0.0,0.0
2007-10-17,0.0,0.0
2007-11-16,0.0,0.0
2007-11-22,0.4019,1.0
2007-12-21,0.0,0.0
2008-01-02,0.5106,1.0
2008-01-09,0.0,0.0
2008-02-19,0.5106,1.0
2008-03-11,0.5267,1.0
2008-04-01,0.0,0.0
2008-04-04,-0.128,-1.0
2008-04-11,-0.5267,-1.0
2008-04-24,-0.4404,-1.0
2008-07-03,0.05135,0.5
2008-07-15,0.1779,1.0
2008-07-31,0.0,0.0
2008-08-04,-0.296,-1.0
2008-08-26,0.3818,1.0
2008-09-04,0.0,0.0
2008-09-11,0.0,0.0
2008-09-15,0.0,0.0
2008-09-16,0.0,0.0
2008-09-19,0.0,0.0
2008-09-26,0.0,0.0
2008-10-03,0.2023,1.0
2008-10-09,0.0,0.0
2008-10-23,-0.5719,-1.0
2008-11-12,0.0,0.0
2008-11-22,0.0,0.0
2008-12-04,0.0,0.0
2008-12-07,0.0,0.0
2008-12-13,0.0,0.0
2009-01-13,-0.2732,-1.0
2009-01-15,0.0,0.0
2009-01-16,-0.29295,-0.5
2009-01-20,0.3182,1.0
2009-01-23,-0.3182,-1.0
2009-02-06,0.0,0.0
2009-02-13,0.6486,1.0
2009-02-22,-0.6222,-1.0
2009-03-04,0.10115,0.5
2009-03-07,0.0,0.0
2009-03-10,0.4215,1.0
2009-03-18,-0.5106,-1.0
2009-03-20,0.3818,1.0
2009-03-28,-0.296,-1.0
2009-03-29,0.5106,1.0
2009-04-01,0.25,1.0
2009-04-02,-0.5719,-1.0
2009-04-17,0.296,1.0
2009-05-12,0.34,1.0
2009-05-14,0.5574,1.0
2009-05-15,0.0,0.0
2009-06-12,0.0,0.0
2009-07-13,0.3818,1.0
2009-07-15,0.0,0.0
2009-07-21,0.5719,1.0
2009-07-22,0.0,0.0
2009-07-31,0.0,0.0
2009-08-19,0.0,0.0
2009-08-20,-0.5994,-1.0
2009-08-25,0.0,0.0
2009-09-10,0.1909,0.5
2009-09-28,0.0,0.0
2009-09-30,0.3182,1.0
2009-10-01,0.0,0.0
2009-10-08,0.0,0.0
2009-10-19,0.0,0.0
2009-11-03,0.1779,1.0
2009-11-13,0.0,0.0
2009-12-08,0.0,0.0
2009-12-13,0.0,0.0
2009-12-14,0.0,0.0
2010-01-06,0.0,0.0
2010-01-07,0.0,0.0
2010-01-17,0.0,0.0
2010-01-20,0.0,0.0
2010-01-25,-0.3612,-1.0
2010-01-28,0.0,0.0
2010-01-31,0.0,0.0
2010-02-02,0.0,0.0
2010-02-10,0.0,0.0
2010-02-11,0.0,0.0
2010-02-12,0.0,0.0
2010-02-19,0.4588,1.0
2010-02-20,0.17804999999999999,0.0
2010-03-02,0.0,0.0
2010-03-07,0.0,0.0
2010-03-12,0.0,0.0
2010-03-16,0.2023,1.0
2010-03-19,-0.34,-1.0
2010-03-22,0.0,0.0
2010-04-06,0.0,0.0
2010-04-09,-0.3197666666666667,-0.6666666666666666
2010-04-20,0.0,0.0
2010-05-05,0.5719,1.0
2010-05-06,0.3818,1.0
2010-05-12,0.4019,1.0
2010-05-20,-0.1366,-0.5
2010-05-26,0.0,0.0
2010-06-27,0.0,0.0
2010-07-14,0.0,0.0
2010-07-19,0.0,0.0
2010-07-25,0.0,0.0
2010-07-26,0.0,0.0
2010-07-27,0.3818,1.0
2010-08-15,0.0,0.0
2010-08-18,0.0,0.0
2010-08-26,0.0,0.0
2010-08-27,0.0,0.0
2010-09-02,0.0,0.0
2010-10-08,0.1909,0.5
2010-10-21,0.0,0.0
2010-10-24,0.0,0.0
2010-10-27,0.0,0.0
2010-11-05,-0.3612,-1.0
2010-11-09,0.0,0.0
2010-11-16,-0.4588,-1.0
2010-12-17,0.0,0.0
2010-12-18,-0.2732,-1.0
2011-01-25,0.4939,1.0
2011-02-02,0.0,0.0
2011-02-04,0.3818,1.0
2011-02-16,0.0,0.0
2011-02-18,0.0,0.0
2011-02-19,0.0,0.0
2011-02-23,0.2263,1.0
2011-02-28,-0.296,-1.0
2011-03-02,0.0,0.0
2011-03-03,0.0,0.0
2011-03-11,0.0,0.0
2011-03-12,0.3612,1.0
2011-03-17,0.0,0.0
2011-03-22,0.0,0.0
2011-03-23,0.0,0.0
2011-03-24,0.0775,0.0
2011-03-29,0.0,0.0
2011-04-01,-0.4019,-1.0
2011-04-08,-0.4168,-1.0
2011-04-12,0.0,0.0
2011-04-14,0.0,0.0
2011-04-19,0.0,0.0
2011-04-21,0.0,0.0
2011-05-06,0.7783,1.0
2011-05-31,0.12726666666666667,0.3333333333333333
2011-06-01,0.0,0.0
2011-06-02,0.0,0.0
2011-06-24,0.0,0.0
2011-06-25,0.2023,1.0
2011-07-01,0.0,0.0
2011-07-14,0.0,0.0
2011-08-18,0.2235,1.0
2011-08-26,0.0,0.0
2011-09-11,0.0,0.0
2011-09-15,0.0,0.0
2011-11-16,0.0,0.0
2011-11-25,0.0,0.0
2011-11-26,0.0,0.0
2011-12-16,-0.101,-1.0
2012-01-29,0.2263,1.0
2012-02-07,0.4404,1.0
2012-02-11,0.0,0.0
2012-03-07,0.0,0.0
2012-03-23,0.0,0.0
2012-03-24,0.0,0.0
2012-04-11,0.4939,1.0
2012-04-17,0.0,0.0
2012-04-18,0.3818,1.0
2012-04-19,0.0,0.0
2012-05-03,0.0,0.0
2012-05-10,0.7269,1.0
2012-05-23,0.0,0.0
2012-06-05,-0.4019,-1.0
2012-06-12,0.0,0.0
2012-06-13,0.0,0.0
2012-06-14,0.0,0.0
2012-06-18,-0.34,-1.0
2012-06-28,0.0,0.0
2012-06-30,-0.4019,-1.0
2012-07-18,0.0,0.0
2012-08-02,0.0,0.0
2012-08-11,0.24695,0.5
2012-08-30,0.0,0.0
2012-09-19,0.4588,1.0
2012-12-29,-0.2732,-1.0
2013-02-19,0.0,0.0
2013-02-21,0.0,0.0
2013-02-23,0.0,0.0
2013-02-28,0.0,0.0
2013-03-16,0.3818,1.0
2013-03-20,0.0,0.0
2013-03-21,0.0,0.0
2013-03-23,0.0,0.0
2013-04-03,0.4588,1.0
2013-04-15,0.0,0.0
2013-05-05,-0.3612,-1.0
2013-05-13,0.0,0.0
2013-05-25,0.0,0.0
2013-06-02,0.4404,1.0
2013-06-11,-0.10115,-0.5
2013-06-26,0.0,0.0
2013-07-10,0.3818,1.0
2013-08-01,0.0,0.0
2013-08-02,-0.2263,-1.0
2013-08-11,0.0,0.0
2013-09-12,0.0,0.0
2013-09-25,0.0,0.0
2013-09-26,0.0,0.0
2013-10-01,0.5267,1.0
2013-10-11,0.2263,1.0
2013-10-21,0.0,0.0
2013-11-22,0.0,0.0
2013-12-06,0.0,0.0
2013-12-16,0.0,0.0
2013-12-19,0.3818,1.0
2013-12-22,0.34,1.0
2014-01-01,0.0,0.0
2014-01-05,-0.0258,0.0
2014-01-10,0.0,0.0
2014-01-12,0.6908,1.0
2014-01-23,0.1027,1.0
2014-01-27,0.5994,1.0
2014-02-08,0.0,0.0
2014-02-17,0.0,0.0
2014-02-23,0.0,0.0
2014-03-25,0.0,0.0
2014-03-26,0.296,1.0
2014-04-12,-0.5267,-1.0
2014-04-17,0.0,0.0
2014-05-02,0.0,0.0
2014-05-12,0.0,0.0
2014-06-01,0.0,0.0
2014-06-18,-0.2732,-1.0
2014-06-25,0.0,0.0
2014-07-27,-0.3182,-1.0
2014-08-31,-0.1027,-1.0
2014-09-02,0.0,0.0
2014-09-09,0.0,0.0
2014-09-13,0.0,0.0
2014-10-15,0.1779,1.0
2014-10-29,-0.5267,-1.0
2014-12-28,0.0,0.0
2015-02-02,0.0,0.0
2015-02-03,0.296,1.0
2015-02-06,0.4019,1.0
2015-02-09,0.0,0.0
2015-02-26,0.0,0.0
2015-03-12,0.5106,1.0
2015-03-18,-0.2732,-1.0
2015-03-24,0.0,0.0
2015-04-01,0.1779,1.0
2015-04-07,0.0,0.0
2015-04-22,0.0,0.0
2015-04-28,0.0,0.0
2015-04-29,0.25,1.0
2015-06-09,0.0772,1.0
2015-06-14,0.4019,1.0
2015-06-29,0.0,0.0
2015-07-09,0.3818,1.0
2015-07-11,0.0,0.0
2015-08-20,0.0,0.0
2015-08-21,0.0,0.0
2015-09-07,0.0,0.0
2015-09-22,0.0,0.0
2015-10-15,0.2263,1.0
2015-10-26,0.0,0.0
2015-11-11,0.3818,1.0
2015-11-24,-0.4019,-1.0
2015-11-25,0.0,0.0
2015-12-15,0.0,0.0
2015-12-18,0.0,0.0
2016-01-26,-0.2732,-1.0
2016-01-29,0.0516,1.0
2016-02-02,0.6486,1.0
2016-02-11,0.4019,1.0
2016-02-18,0.0,0.0
2016-03-06,0.0,0.0
2016-03-07,-0.296,-1.0
2016-03-21,-0.2732,-1.0
2016-04-07,0.1779,1.0
2016-07-01,0.4939,1.0
2016-09-04,-0.3612,-1.0
2016-09-07,0.0,0.0
2016-09-09,0.2263,1.0
2016-09-13,0.0,0.0
2016-09-21,0.0,0.0
2016-09-23,0.0,0.0
2016-10-16,0.0516,1.0
2016-11-10,0.3818,1.0
2016-11-18,0.0,0.0
2017-01-18,0.0,0.0
2017-01-19,0.4404,1.0
2017-02-02,-0.2732,-1.0
2017-02-13,0.0,0.0
2017-02-17,-0.148,-0.5
